Question,Answer
Are diving ducks heavier tha dabbling ducks ,Yes 
Are adult ducks fast fliers ,Yes 
Are adult ducks fast fliers ,Yes 
Are ducks an accepted presence in some populated areas ,Yes 
Are ducks an accepted presence in some populated areas ,Yes 
What types of unrelated water birds with similar forms are ducks sometimes confused with ,loons or divers grebes gallinules and coots 
What types of unrelated water birds with similar forms are ducks sometimes confused with ,loons or divers grebes gallinules and coots 
Why are ducklings particularly vulnerable ,Their inability to fly 
Why are ducklings particularly vulnerable ,their inability to fly makes them easy prey 
What are some economic uses for duck ,Meateggsfeathers 
What are some economic uses for duck ,being farmed for their meat eggs feathers particularly their down 
What allows duck to filter water out of the side of their beaks and keep food inside ,Tiny rows of plates called lamellae 
What allows duck to filter water out of the side of their beaks and keep food inside ,tiny rows of plates called lamellae like whales baleen 
What expression is part of conceptual framework for testing computer systems ,Quacks like duck 
What expression is part of conceptual framework for testing computer systems ,Quacks like duck 
Where did the expression sitting duck come from ,In many areas wild duckof various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
Where did the expression sitting duck come from ,In many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
Is Egypt bordered by the Gaza Strip ,yes 
Is Egypt bordered by the Gaza Strip ,Yes 
Is Egypt the most populated country in Africa ,no 
Is Egypt the most populated country in Africa ,No 
Does Egypt have political influence in the Middle East ,yes 
Does Egypt have political influence in the Middle East ,Yes 
When was the Six Day War ,1967 
When was the Six Day War ,1967 
What religions has Egypt outlawed ,All but Christianity Islam and Judaism 
What religions has Egypt outlawed ,all religions and belief except Islam Christianity and Judaism 
What is the poulation of Egypt ,more than 78 million 
What is the poulation of Egypt ,78 million people 
Why does most of Egypts population live near the Nile ,the only arable agricultural land is found there 
Why does most of Egypts population live near the Nile ,The only arable agricultural land is found there 
Are there large number of Jews living in Egypt today ,no 
Are there large number of Jews living in Egypt today ,No 
During what period was Akhenaten Pharaoh ,The New Kingdom c1550&#87221070 BC 
During what period was Akhenaten Pharaoh ,The New Kingdom 
Is Egypt in Asia ,No 
Does Egypt receive the least rainfall in the world ,Yes 
Does Egypt receive the least rainfall in the world ,Yes 
Does Egypts foreign policy operates along moderate lines ,Yes 
Does Egypts foreign policy operates along moderate lines ,Yes 
Since when has Egypt been republic ,June 18 1953 
Since when has Egypt been republic ,June 18 1953 
When were the Great Sphinx and the Pyramids of Giza built ,During the Old Kingdom 
When were the Great Sphinx and the Pyramids of Giza built ,During the Old Kingdom 
What countries border Egypt ,Libya Sudan the Gaza Strip and Israel 
What countries border Egypt ,Libya Sudan the Gaza Strip and Israel 
What is the estimated population of Egypt ,More than 78 million 
What is the estimated population of Egypt ,78 million 
Does snow fall in Egypt ,Yes 
Does snow fall in Egypt ,Yes 
When did organized agriculture appear in the Nile Valley ,6000 BC 
When did organized agriculture appear in the Nile Valley ,About 6000 BC 
Are elephants the largest land animals alive today ,yes 
Are elephants the largest land animals alive today ,yes 
Can an elephant kill rhinoceros ,yes 
Can an elephant kill rhinoceros ,yes 
Are elephants good swimmers ,yes 
Are elephants good swimmers ,yes 
How many living species of African Elephants are there ,
How many living species of African Elephants are there ,The African Elephant genus contains two or arguably three living species 
How long may elephants live ,70 years 
How long may elephants live ,As long as 70 years sometimes longer 
Why does the phrase elephants never forget have no metaphorical meaning ,it refers literally to elephants supposedly having an excellent memory 
Why does the phrase elephants never forget have no metaphorical meaning ,Because it refers literally to elephants supposedly having an excellent memory 
How many living species of Asian Elephants are there ,
How many living species of Asian Elephants are there ,one 
How much do elephants weight at birth ,120 kilograms 
How much do elephants weight at birth ,At birth it is common for an elephant calf to weigh 120 kilograms 265 lb 
What did Aristotle say about elephants ,the beast which passeth all others in wit and mind 
What did Aristotle say about elephants ,Aristotle once said the elephant was the beast which passeth all others in wit and mind 
Are elephant populations in West Africa generally small and fragmented ,yes 
Are elephant populations in West Africa generally small and fragmented ,Yes 
Is the Asian elephant larger than the African ,no 
Is the Asian elephant larger than the African ,Sometimes 
Is an elephants skin tough ,yes 
Is an elephants skin tough ,Yes 
How do elephants communicate over long distances ,by producing and receiving low frequency sound 
How do elephants communicate over long distances ,By producing and receiving lowfrequency sound infrasound 
When do African elephants lie down ,when they are sick or wounded 
How long is the elephants gestation period ,22 months 
How long is the elephants gestation period ,22 months 
How many species of African elephants have been proposed ,three 
How many species of African elephants have been proposed ,three 
What are the elephants ears important for ,temperature regulation 
What are the elephants ears important for ,temperature regulation 
What land animal has the largest brain ,elephant 
What land animal has the largest brain ,The elephant 
Are elephants mammals ,yes 
Are elephants mammals ,Yes 
Have elephants been used as working animals ,yes 
Have elephants been used as working animals ,Yes 
Do they prefer forested areas ,Yes 
Do they prefer forested areas ,Yes 
What is the world population of Asian elephants ,60000 
What part of an elephant is very important for temperature regulation ,Ears 
What part of an elephant is very important for temperature regulation ,The large flapping ears of an elephant are also very important for temperature regulation 
Where was the largest elephant ever recorded shot ,Angola 
Where was the largest elephant ever recorded shot ,The largest elephant ever recorded was shot in Angola in 1956 
Is an Asian elephant smaller than an African elephant ,yes 
Is an Asian elephant smaller than an African elephant ,Yes 
What land animal is larger than an elephant ,None 
What land animal is larger than an elephant ,None the elephant is the largest land animal 
Has tusklessness become rare abnormality ,No 
Has tusklessness become rare abnormality ,No tusklessness has become widespread hereditary trait 
Were the treaties signed in 1947 and 1948 with the Ukraine ,no 
Were the treaties signed in 1947 and 1948 with the Ukraine ,No 
Is Finnish member of the BalticFinnic subgroup of the Uralic languages ,yes 
Is Finnish member of the BalticFinnic subgroup of the Uralic languages ,Yes 
Is the most read newspaper in Finland Taloussanomat ,no 
Is the most read newspaper in Finland Taloussanomat ,No 
Which Russian army general conquered Finland in 1809 ,Alexander 
Which Russian army general conquered Finland in 1809 ,Alexander 
What is the life expectancy for men in Finland ,75 years 
What is the life expectancy for men in Finland ,75 years 
In what year were the Games of the XV Olympiad held ,1952 
In what year were the Games of the XV Olympiad held ,1952 
What body of water lies to the south of Finland ,the Gulf of Finland 
What body of water lies to the south of Finland ,Archipelago Sea 
Name an animal that is growing in number due to recent conservation efforts ,Golden Eagle Brown Bear or Eurasian Lynx Change imperative to interrogative 
Name an animal that is growing in number due to recent conservation efforts ,Golden Eagle 
Today are there more cell phone subscriptions than people in Finland ,yes 
Today are there more cell phone subscriptions than people in Finland ,Yes 
Is Matti Vanhanen the Prime Minister of Finland ,yes 
Is Matti Vanhanen the Prime Minister of Finland ,Yes 
Is the capital city Oslo ,no 
Is the capital city Oslo ,No 
Does it have border with Norway ,yes 
Does it have border with Norway ,Yes 
What is the life expectancy for men ,75 years 
What is the life expectancy for men ,75 years 
What is the biggest city in Finland ,Greater Helsinki 
What is the biggest city in Finland ,the cities of the Greater Helsinki metropolitan area 
Who is the most popular rock group in Finland ,CMX 
Who is the most popular rock group in Finland ,CMX 
What is Finlands economy like ,highly industrialised freemarket economy 
Where is Finland located ,Northern Europe 
Where is Finland located ,Northern Europe 
What is the weather like in summer ,relatively warm 
What is the weather like in summer ,relatively warm 
Does salmon remain the favorite of fly rod enthusiasts ,Yes 
Does salmon remain the favorite of fly rod enthusiasts ,Yes 
Are there cathedrals scattered all across Finland ,Yes 
Are there cathedrals scattered all across Finland ,Yes 
According to Readers Digest is Finland best for living ,Yes 
According to Readers Digest is Finland best for living ,Yes 
When did the first verifiable written documents appear ,Twelfth Century 
When did the first verifiable written documents appear ,The first verifiable written documents appeared in the twelfth century 
What is the capital city ,Helsinki 
What is the capital city ,The capital city is Helsinki 
What is the most extensively celebrated holiday ,Christmas 
What is the most extensively celebrated holiday ,Christmas is the most extensively celebrated holiday 
Does large proportion of the population speak Swedish as its mother tongue ,No 
Do women live longer than men ,Yes 
Do women live longer than men ,Yes 
What is country with which Finland is involved in an international conflict ,None 
What is country with which Finland is involved in an international conflict ,Finland is not involved in international conflicts or border disputes 
Was Ford member of the House of Representatives ,Yes 
Was Ford member of the House of Representatives ,yes 
For how long was Ford member of the House of Representatives ,Over eight years 
For how long was Ford member of the House of Representatives ,Ford served for over eight years as the Republican Minority Leader of the United States House of Representatives 
Was Gerald Ford member of Delta Kappa Epsilon ,Yes 
Was Gerald Ford member of Delta Kappa Epsilon ,Yes 
Did ford get an award called Congressmans congressman ,Yes 
Did ford get an award called Congressmans congressman ,No 
Did ford attend the University of Michigan ,Yes 
Did ford attend the University of Michigan ,Yes 
What positions Ford played in the school football team ,Center and linebacker 
What positions Ford played in the school football team ,Captain 
What did Ford say about his biological father ,He was abusive and had history of hitting his mother 
What did Ford say about his biological father ,his biological father was abusive and had history of hitting his mother 
Who did Ford nominate for Vice President ,Bob Dole 
Who did Ford nominate for Vice President ,Nelson Rockefeller 
Was Ford active about Vietnamese affairs ,No 
hard ,hard 
Was Ford active about Vietnamese affairs ,Yes 
Had Fords wife married before ,Yes 
Had Fords wife married before ,No 
Is Ford related with the assassination of John Kennedy ,Yes 
Was Gerald Ford the 38th President of the United States ,yes 
Was Gerald Ford the 38th President of the United States ,yes 
Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives ,yes 
Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives ,yes 
Was Ford an Eagle Scout ,yes 
Was Ford an Eagle Scout ,yes 
What district was Ford elected from ,Michigans 5th congressional district 
What district was Ford elected from ,Michigans 5th congressional district 
How many Eagle Scouts were involved in Fords funeral procession ,400 
How many Eagle Scouts were involved in Fords funeral procession ,About 400 
Which future Heisman Trophy winner did Ford tackle ,Jay Berwanger 
Which future Heisman Trophy winner did Ford tackle ,Jay Berwanger 
Has another US President been an Eagle Scout ,no 
Has another US President been an Eagle Scout ,no 
Did Ford need to do extra work to pay for college ,yes 
Did Ford need to do extra work to pay for college ,yes 
Have more than five Presidents lived past the age of 90 ,no 
Have more than five Presidents lived past the age of 90 ,no 
How do kwajalein and eniwetok relate ,The Monterey supported landings at both locations 
What did Ford receive on April 13 1942 ,Ford received commission as ensign in the US Naval Reserve 
Was Ford released from the hospital ,Yes 
Was Ford interred at his Presidential Museum in Grand Rapids Michigan ,Yes 
Is Ford one of only four former Presidents to live to 90 or more years of age ,Yes 
Was Ford the last surviving member of the Warren Commission ,Yes 
Did Grand Rapids supporters not urge him to take on Bartel Jonkman the incumbent Republican congressman ,No 
Did they not claim Ford pardon was quid pro quo in exchange for Nixon resignation ,They did claim Fords pardon was quid pro quo 
Does Ghana have twice the per capita output of the poorer countries in West Africa ,yes 
Does Ghana have twice the per capita output of the poorer countries in West Africa ,yes 
Is English Ghanas official language ,yes 
Is English Ghanas official language ,yes 
Did the Dutch build the Elmina Castle ,No 
Did the Dutch build the Elmina Castle ,no 
When did Ghana achieve independence from the United Kingdom ,1957 
When did Ghana achieve independence from the United Kingdom ,1957 
How many regions is Ghana divided into ,10 
How many regions is Ghana divided into ,10 
Who is the head of state of Ghana ,President John Agyekum Kofuor 
Who is the head of state of Ghana ,John Agyekum Kufuor 
What is the dominant religion in Ghana ,Christian 
What is the dominant religion in Ghana ,christian 
What are the two subfamilies of the Native Ghanaian languages ,Kwa and Gur 
What are the two subfamilies of the Native Ghanaian languages ,Kwa and Gur 
What is the weather like at Lake Volta ,Warm and comparatively dry 
What is the weather like at Lake Volta ,warm and comparatively dry 
Is Ghana in Asia ,no 
Is Ghana in Asia ,No 
Is English the official language ,yes 
Is English the official language ,Yes 
Is Ghanas head of state John Agyekum Kufuor ,yes 
Is Ghanas head of state John Agyekum Kufuor ,Yes 
What does the word Ghana mean ,warrior king 
What does the word Ghana mean ,Warrior King 
Who was Kwame Nkrumah ,founder and first president 
Who was Kwame Nkrumah ,founder and first president of the modern Ghanaian state 
Where is old Ghana in relation to present Ghana ,500 miles north 
Where is old Ghana in relation to present Ghana ,500 miles north of the present Ghana and occupied the area between Rivers Senegal and Niger 
Who makes up Ghanas Parliament ,the New Patriotic Party and National Democratic Congress 
Who makes up Ghanas Parliament ,the New Patriotic Party and National Democratic Congress 
What European countries established states in Ghana ,The UK 
What European countries established states in Ghana ,Portugual France Britain Netherlands 
Does the Gray Wolf share an ancestry with the domestic dog ,Yes 
Does the Gray Wolf share an ancestry with the domestic dog ,Yes 
Do wolf pups tend to have darker fur than adults ,Yes 
Do wolf pups tend to have darker fur than adults ,Yes They do tend to have darker furs 
Do wolves leave their pack ,Yes 
Do wolves leave their pack ,They leave their birth pack when they reach sexual maturity 
What kinds of coats do wolves have ,bulky coats with two layers 
What kinds of coats do wolves have ,Tough guard hairs that repel water and dirt and dense waterresistant layer 
Where do wolves have scent glands ,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts 
Where do wolves have scent glands ,between wolfs toes 
How much do wolves weigh ,typically varies between 32 and 62 kilograms 
How much do wolves weigh ,between 32 and 68 kilograms 
Why do wolves howl ,Howling helps pack members keep in touch allowing them to communicate effectively in thickly forested areas or over great distances Howling also helps to call pack members to specific location Howling can also serve as declaration of territory as shown in dominant wolf&aposs tendency to respond to human imitation of rival wolf in an area the wolf considers its own 
Why do wolves howl ,To pack members keep in touch allowing them to communicate effectively in thickly forested areas or over great distances 
What is surplus killing ,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting 
What is surplus killing ,the killing of several prey animals too numerous to eat at one sitting 
Are Gray Wolves native to North America ,Yes 
Are Gray Wolves native to North America ,No Current theory suggests that its from Eurasia 
Is the Gray Wolf mammal ,Yes 
Is the Gray Wolf mammal ,Yes 
Are wolfs teeth its main weapons ,Yes 
Are wolfs teeth its main weapons ,Yes 
Are wolves built for stamina ,Yes 
Are wolves built for stamina ,Yes 
Where is the largest gray wolf population thought to be found ,Kazakhstan 
Where is the largest gray wolf population thought to be found ,Kazakhstan 
To what genus does the gray wolf belong ,Canis 
To what genus does the gray wolf belong ,Canis 
When do wolves molt ,Late Spring or Early Summer 
When do wolves molt ,late spring or early summer 
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating ,pack can only suppport one littler per year 
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating ,The pack tension rises as each mature wolf feels urged to mate 
What type of tools do biologists use to capture wolves for tagging ,Darting and Foot hold traps 
What type of tools do biologists use to capture wolves for tagging ,Darting and foot hold traps 
Forward erect ears and slightly bristle hackles are sign of what in wolves ,Dominance 
Forward erect ears and slightly bristle hackles are sign of what in wolves ,Dominance 
Was Grover Cleveland born in New York ,no 
Was Grover Cleveland born in New York ,no 
Did Grover Cleveland win the 1884 election ,yes 
Did Grover Cleveland win the 1884 election ,yes 
Did Grover Cleveland support womens suffrage ,No 
Did Grover Cleveland support womens suffrage ,no 
Where was Grover Cleveland married ,In the White House 
Where was Grover Cleveland married ,in the Blue Room in the White House 
What did Cleveland die from ,heart attack 
What did Cleveland die from ,heart attack 
How many years after Cleveland left office did the US win the SpanishAmerican War ,One Year 
How many years after Cleveland left office did the US win the SpanishAmerican War ,one 
What did Clevelands opponents say in 1884 to counter his innocent image ,That he had fathered an illegitimate child 
What did Clevelands opponents say in 1884 to counter his innocent image ,that he had fathered an illegitimate child while he was lawyer in Buffalo 
Who did Cleveland run against in 1884 ,former Senator James Blaine of Maine 
Who did Cleveland run against in 1884 ,James Blaine 
Why did Cleveland want to hide his cancer surgery from the public ,To avoid further market panic 
Why did Cleveland want to hide his cancer surgery from the public ,because of the financial depression of the country 
Was Grover Cleveland the twentyseventh president of the United States ,No 
Was Grover Cleveland the twentyseventh president of the United States ,No 
Is Grover Cleveland honest ,Yes 
Is Grover Cleveland honest ,Yes 
Was Grover Cleveland married in the whitehouse ,Yes 
Was Grover Cleveland married in the whitehouse ,Yes 
When was he elected sheriff of Erire County New York ,Yes 
When was he elected sheriff of Erire County New York ,1870 
When did he die ,June 24 1908 
When did he die ,1908 
Which election did Grover Cleveland win ,1884 and 1892 presidential elections 
Who were Grover Clevelands parents ,Cleveland was born in Caldwell New Jersey to the Reverend Richard Cleveland and Anne Neal 
Who were Grover Clevelands parents ,Reverend Richard Cleveland and Anne Neal 
How many children did Grover Cleveland have ,
How many children did Grover Cleveland have ,Six 
Who lost control of his party to the agrarians and silverites in 1896 ,Grover Cleveland 
Is it true that he sent in federal troops to chicago ,yes 
Was Cleveland born in Caldwell New Jersey to the Reverend Richard Cleveland and Anne Neal ,yes 
Was Grover Cleveland elected Sheriff of Erie County New York ,yes 
Was Cleveland portrait on the US 1000 bill from 1928 to 1946 ,yes 
Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ,yes 
Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ,yes 
Did the team sedating Cleveland with nitrous oxide LRB laughing gas RRB not remove his upper left jaw and portions of his hard palate ,yes 
Are the Javanese the largest and politically dominant ethnic group in Indonesia ,yes 
Are the Javanese the largest and politically dominant ethnic group in Indonesia ,Yes 
Is Indonesia monarchy with presidential system ,no 
Is Indonesia monarchy with presidential system ,No 
Did the Japanese invasion and subsequent occupation during WWII end Dutch rule ,yes 
Did the Japanese invasion and subsequent occupation during WWII end Dutch rule ,Yes 
In what year did East Timor secede from Indonesia ,1999 
In what year did East Timor secede from Indonesia ,1999 
When did Islam become the dominant religion in Java and Sumatra ,the end of the 16th century 
When did Islam become the dominant religion in Java and Sumatra ,by the end of the 16th century 
Does Indonesia have the worlds hightest level of biodiversity ,no 
Does Indonesia have the worlds hightest level of biodiversity ,No 
Was Indonesia named after it became an independent country ,no 
Was Indonesia named after it became an independent country ,No 
Why did Indonesia break off relations with the Peoples Republic of China ,because of anticommunist purges early in the Suharto era 
Why did Indonesia break off relations with the Peoples Republic of China ,anticommunist purges early in the Suharto era 
Which spice originally attracted Europeans to Indonesia ,nutmeg cloves or cubeb pepper 
Which spice originally attracted Europeans to Indonesia ,nutmeg cloves and cubeb pepper 
What is Jakarta ,Indonesias special capital region 
What shares land borders with Papua New Guinea East Timor and Malaysia ,Indonesia 
What are the largest and politically dominant ethnic group ,the Javanese 
What happens when the srivijaya kingdom formed trade links ,The indonesian archipelago became an important trade region 
Is it true that indonesia has vast areas of wilderness ,yes 
Is Indonesia republic ,yes 
Are Sports in Indonesia generally maleorientated ,yes 
Is Indonesia the worlds largest archipelagic state ,yes 
Are sports in Indonesia generally maleorientated and spectator sports are often associated with illegal gambling ,yes 
Is Pencak Silat an Indonesian martial art ,yes 
Has Indonesia the world largest Muslim population ,yes 
Who has its own political legislature and governor ,each province 
Is it the world largest archipelagic state ,yes 
Is it the world fourth most populous country and the most populous muslimmajority nation ,yes 
Is indonesia republic ,yes 
Is James Monrow the fifth president of US ,Yes 
Is James Monrow the fifth president of US ,Yes 
What is the first word on the page ,James 
What is the first word on the page ,JamesMonroe 
What is the first number on the page ,28 
What is the first number on the page ,28 
When did Monroes presidency expired ,March 1825 
When did Monroes presidency expired ,March 1825 
What is Monroes fathers name ,Spence 
What is Monroes fathers name ,Spence Monroe 
What is Monroes daughters name ,Maria Hester Monroe Gouverneur 
What is Monroes daughters name ,Maria Hester Monroe Gouverneur 
What does Era of Good Feelings refers to ,Reduced tension 
What does Era of Good Feelings refers to ,Monroe allowed his political base to decay which reduced tensions and led to the naming of his era as the Era of Good Feelings 
Did Monroe wedding happen at the Trinity Church in New York ,Yes 
Did Monroe wedding happen at the Trinity Church in New York ,Yes 
What is Monroe Doctrine ,doctrine declaring US opposition to European interference in the Americas 
What is Monroe Doctrine ,In it Monroe proclaimed the Americas should be free from future European colonization and free from European interference in sovereign countries affairs It further stated the United States intention to stay neutral in European wars and wars between European powers and their colonies but to consider any new colonies or interference with independent countries in the Americas as hostile acts toward the United States 
Was James Monroe President of the United States ,yes 
Was James Monroe President of the United States ,Yes 
Did James Monroe attend the College of William and Mary ,yes 
Did James Monroe attend the College of William and Mary ,Yes 
Did James Monroe fight in the Continental Army ,yes 
Did James Monroe fight in the Continental Army ,Yes 
Where was James Monroe born ,Westmoreland County Virginia 
Where was James Monroe born ,Westmoreland County Virginia 
Where was James Monroe shot ,at the Battle of Trenton in his left shoulder 
Where was James Monroe shot ,The Battle of Trenton 
Who did James Monroe marry ,Elizabeth Kortright 
Who did James Monroe marry ,Elizabeth Kortright 
What did James Monroe do before being elected governor ,He practiced law in Virginia 
What did James Monroe do before being elected governor ,He practiced law 
In which years were John Monroe elected as President ,18171825 
In which years were John Monroe elected as President ,18171825 
Who was John Monroe standing behind in the painting of Washington Crossing the Delaware ,George Washington 
Who was John Monroe standing behind in the painting of Washington Crossing the Delaware ,George Washington 
When was James Monroe appointed to Secretary of War ,1814 
When did James Monroe die ,July 1831 
When did James Monroe graduate from William and Mary ,1776 
When was James Monroe elected president ,Monroe was elected president in the election of 1816 and reelected in 1820 
Which property did James Monroe sell in 1817 ,Monroe Hill on the grounds of the University of Virginia 
When did James Monroe introduce the Monroe Doctrine ,December 1823 
Who did James Monroe live with in New York City ,His daughter Maria Hester Monroe Gouverneur 
What did James Monroes letters not contain ,No letters survive in which he might have discussed his religious beliefs 
What was the result of the rejection of the Jay Treaty ,As result the two nations moved closer toward the War of 1812 
Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware ,Monroe 
What dwindled and eventually died out starting with the Hartford Convention ,The Federalist Party 
Is it true that he practiced law in fredericksburg ,yes 
What did James Monroe make in 1817 ,two long tours 
Was Monroe anticlerical ,no 
Was Monroe appointed Minister to France from 1794 to 1796 ,yes 
What expired on March ,Monroes presidency 
Had Monroe racked up many debts during his years of public life ,yes 
Who dismantled partisan and sectional coalitions ,many congressmen 
Had Monroe racked up many debts during his years of public life ,yes 
What happened in 1811 ,Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia 
What happened in the election of 1816 ,Monroe was elected president 
Did John Adams represent the Continental Congress in Europe ,Yes 
Did John Adams represent the Continental Congress in Europe ,yes 
Was Adams raised Congregationalist ,Yes 
Was Adams raised Congregationalist ,yes 
Was Adams an opponent of the Stamp Act ,Yes 
Was Adams an opponent of the Stamp Act ,yes 
When did Adams graduate from college ,1755 
When did Adams graduate from college ,1755 
Who was on the committee with Adams to draft Declaration of Independence ,Thomas Jefferson Benjamin Franklin Robert Livingston and Roger Sherman 
Who was on the committee with Adams to draft Declaration of Independence ,Thomas Jefferson Benjamin Franklin Robert Livingston and Roger Sherman 
What did Jefferson call John Adams ,The Colossus of Independence 
What did Jefferson call John Adams ,Colossus of Independence 
What was Adams political party ,The Federalist Party 
What was Adams political party ,Federalist 
Was Adams the first to introduce bicameral legislature ,Yes 
Was Adams the first to introduce bicameral legislature ,yes 
Did John Adams get along with Alexander Hamilton ,No 
Did John Adams get along with Alexander Hamilton ,no 
Did John Adams go to Harvard ,yes 
Did John Adams go to Harvard ,Yes 
Did John Adams support the Stamp Act of 1765 ,No 
Did John Adams support the Stamp Act of 1765 ,No 
Is Adams birthplace part of national park ,yes 
Is Adams birthplace part of national park ,Yes 
When did John Adams serve as Vice President ,17891797 
When did John Adams serve as Vice President ,17891797 
With what party did Adams run for presidency ,The Federalist Party 
With what party did Adams run for presidency ,The Federalist Party 
Where is Adams buried ,United First Parish Church 
Where is Adams buried ,United First Parish Church 
Who were the midnight judges ,They were series of judges so called because most of them were formally appointed days before Adams presidential term expired 
Who were the midnight judges ,They were judges formally appointed days before Adams term expired 
In what ways was Adams opposed by Anderw Hamilton ,Hamilton wanted to control the army differently than Adams 
What information did he record in his diary ,Descriptions of events and ompressions of men 
What information did he record in his diary ,He wrote descriptions of events and impressions of men 
Who was defeated for reelection in the`` Revolution of 1800 by Thomas Jefferson ,John Adams 
Who represented the Continental Congress in Europe ,John Adams 
What is now part of Adams National Historical Park ,John Adams birthplace 
Is it true that adams had spent some time as the ambassador ,yes 
Is it true that massachusetts sent him in 1774 ,yes 
Who did Massachusetts send in 1774 ,John Adams 
Are his last words often quoted as Thomas Jefferson survives ,yes 
The John Adams Library housed at the Boston Public Library contains what ,Adamss personal collection of more than 3500 volumes 
Adams opponents were what ,Democratic Republicans 
Did the election of 1800 not become bitter and volatile battle with each side expressing extraordinary fear of the other party and its policies ,No 
What happened in 1764 ,Adams married Abigail Smith 
Is kangaroo reptile ,no 
Is kangaroo reptile ,No 
Is kangaroo on the Australian coat of arms ,yes 
Is kangaroo on the Australian coat of arms ,Yes 
Was James Cook the first to record the name Kangooroo ,yes 
Was James Cook the first to record the name Kangooroo ,Yes 
What is collective noun for kangaroos ,mob troop or court 
What is collective noun for kangaroos ,Mob troop or court 
Where do joeys complete postnatal development ,marsupium 
Where do joeys complete postnatal development ,pouch called marsupium 
What do kangaroos use for crawlwalking ,its hind feet 
What do kangaroos use for crawlwalking ,Their hind feet and their tails 
Why do kangaroos have wide bite ,The two sides of the lower jaw are not joined together and the lower incisors are farther apart 
Why do kangaroos have wide bite ,Because of grazing 
What is responsible for converting the hydrogen byproduct of fermentation into acetate ,bacteria 
What is responsible for converting the hydrogen byproduct of fermentation into acetate ,The digestive system of kangaroo 
Are wild kangaroos shot for meat ,yes 
Are wild kangaroos shot for meat ,Yes 
Have kangaroos fared well since European settlement ,yes 
Have kangaroos fared well since European settlement ,Yes 
Do kangaroos have many natural predators ,no 
Do kangaroos have many natural predators ,No 
What is the average life expectancy of kangaroo ,46 years 
What is the average life expectancy of kangaroo ,about 46 years 
When did the first official report of kangaroo blindness take place ,1994 
When did the first official report of kangaroo blindness take place ,1994 
What are vehicles that frequent isolated roads often fitted with ,roo bars 
What are vehicles that frequent isolated roads often fitted with ,roo bars 
Do kangaroos eat plants ,yes 
Do kangaroos eat plants ,Yes 
What are some extinct predators of the kangaroo ,Thylacine Marsupial Lion Maagalania and Wonambi 
What are some extinct predators of the kangaroo ,The Thylacine 
Is Kangaroo Marsupial ,Yes 
Is the kangaroo an herbivour ,Yes 
Are Kangaroos Shy ,Yes 
What method of locomotion do Kangaroos Use ,hopping 
What is the average life expectancy of kangaroo ,to years 
What is collective noun for kangaroo ,mob troop or court 
What is roo ,kangaroo 
What is used to protect vehicale from Kangaroo ,roo bars 
What method is used by Kangaroos to travel ,hopping 
Who asked nearby local what the creatures were called ,Captain James Cook and naturalist Sir Joseph Banks 
What are four species that are commonly referred to as kangaroos ,The Red Kangaroo The Eastern Grey Kangaroo The Western Grey Kangaroo and The Antilopine Kangaroo 
Are kangaroos and wallabies adept swimmers ,yes 
Are kangaroos farmed to any extent ,No 
Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ,Veterinarians 
Different species of kangaroos eat what ,different diets 
Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ,yes 
Is collision with vehicle capable of killing kangaroo ,yes 
Was the game of Marn grook played using ball made from kangaroo by the Kurnai people ,yes 
Have kangaroos large powerful hind legs large feet adapted for leaping long muscular tail for balance and small head ,yes 
Is kangaroo marsupial from the family macropodidae LRB macropods meaning `` large foot RRB ,yes 
What kinds of changes have larger kangaroos adapted much better to ,Changes wrought to the Australian landscape by humans 
Have larger kangaroos adapted much better to changes ,yes 
Is the leopard smaller than the other members of Panthera ,yes 
Is the leopard smaller than the other members of Panthera ,Yes 
Is leopard larger and less lanky than cheetah ,yes 
Is leopard larger and less lanky than cheetah ,Yes 
Are large pythons potential prey for leopards ,yes 
Are large pythons potential prey for leopards ,Yes 
What may leopard be mistaken for ,cheetah or jaguar 
What may leopard be mistaken for ,cheetah or jaguar 
What is hybrid animal resulting from union between leopard and puma ,pumapard 
What is hybrid animal resulting from union between leopard and puma ,pumapard 
Where do leopards often hide their kills ,in dense vegetation 
Where do leopards often hide their kills ,in dense vegetation or in trees 
How did early naturalists distinguish between leopards and panthers ,by the length of their tails 
How did early naturalists distinguish between leopards and panthers ,By the length of the tail panthers having longer tails than leopards 
What are dark leopards known as colloquially ,Black Panthers 
What are dark leopards known as colloquially ,black panthers 
What shape are leopards black rosettes in East Africa ,circular 
What shape are leopards black rosettes in East Africa ,circular 
Is the leopard an Old World mammal ,yes 
Is the leopard an Old World mammal ,yes 
